PredictionString,image_id
1 0.9444211 164.97191 75.90062 254.11137 166.203 8 0.9996213 172.6695 233.61838 461.31226 473.19327 ,batch_01_vt/0021.jpg
8 0.9996828 159.66109 59.85292 475.0515 253.92702 8 0.99897087 287.06256 203.54553 488.4273 433.8947 8 0.9899859 0.49493408 247.33731 305.74655 458.067 8 0.97326916 459.34033 349.23505 511.8028 435.26202 ,batch_01_vt/0028.jpg
1 0.9989963 71.37483 169.25963 373.67096 378.63672 1 0.055413008 234.7976 461.735 301.3814 511.42566 ,batch_01_vt/0031.jpg
8 0.9957968 35.855713 120.91866 391.1468 376.7749 8 0.07390445 295.7836 156.27898 361.02798 226.82463 ,batch_01_vt/0032.jpg
0 0.08008387 111.50934 254.12308 280.9685 282.348 1 0.93217105 388.98734 273.21048 473.81094 345.01328 1 0.17816472 291.02194 0.8144369 328.69058 25.16177 1 0.15091377 38.294926 458.9895 77.044495 472.6958 1 0.14553428 313.7253 240.79645 411.88492 294.15283 1 0.052919727 270.7407 335.86267 287.9515 355.0852 2 0.9985638 360.8266 165.3425 512.0 293.49823 2 0.96466917 238.69481 38.59475 273.92917 77.11096 2 0.9027864 21.060623 133.37604 388.1599 272.59003 2 0.75343245 0.0 489.1201 43.615463 511.88467 2 0.6646339 315.43106 241.37827 421.3492 296.61124 2 0.6104858 0.0 459.59927 19.147396 491.10605 2 0.57577425 37.92333 458.27408 77.10304 473.07492 2 0.2600828 72.49422 462.91644 126.30704 492.93463 2 0.11266433 37.444283 435.1563 172.71869 474.74603 2 0.11065137 0.010486603 484.68747 20.050783 496.46207 2 0.1043067 337.88654 293.29886 408.83258 334.8016 2 0.09495 88.67003 462.97034 127.95433 475.5103 2 0.086216256 69.858505 461.58517 125.4422 478.79654 2 0.080982454 0.08355713 455.3644 40.404392 510.73184 2 0.07236248 199.21751 277.77728 259.69995 286.88885 2 0.0601371 270.66724 335.82025 287.99475 355.06055 2 0.056432676 0.0 486.57797 18.80944 511.92166 2 0.053456422 67.564255 252.08162 287.08832 285.14236 4 0.09924185 156.04878 295.43164 284.19995 396.35858 6 0.9404328 238.11493 267.1343 385.8902 376.2059 6 0.8762956 156.41551 295.79697 284.89008 396.7897 6 0.26741892 109.6949 254.77716 281.50128 281.597 6 0.24904203 270.69507 334.18872 286.8877 355.44116 6 0.13694903 161.35425 346.60306 376.3357 499.7277 6 0.13093832 247.78502 5.8760567 272.4255 30.329742 6 0.12728631 0.0 125.310135 42.424644 211.81725 6 0.10609819 270.40573 335.81433 302.97275 357.80933 6 0.08745685 261.9985 346.58392 402.85147 499.81903 6 0.070313275 241.59703 398.89676 277.87488 458.4125 6 0.06827554 314.13208 240.89583 412.16937 294.13828 6 0.053170167 291.04474 0.044858932 326.69653 24.813189 7 0.99315697 0.2633667 86.474335 48.162285 136.48177 7 0.47861755 150.40631 192.67883 193.8331 220.36627 7 0.1881647 200.92567 278.6111 260.24655 310.0477 7 0.06863139 200.28941 278.41016 260.13538 289.3109 7 0.051123712 248.01553 5.9673185 272.32547 30.337559 8 0.99959093 161.85355 350.2402 350.73288 498.67484 8 0.99950385 44.251472 59.133575 188.42819 218.67899 8 0.9993631 150.45726 0.0 354.9956 219.56076 8 0.9942478 0.23786926 261.52777 214.83492 471.7055 8 0.9930315 0.12079048 197.3086 63.837616 317.70337 8 0.9865573 74.43606 434.4025 228.88385 512.0 8 0.73156005 153.36444 136.75372 376.73383 224.09601 8 0.70103014 0.07125664 125.320694 41.905937 211.7329 8 0.6804158 289.04175 133.32501 359.6521 221.09335 8 0.49826458 1.828373 271.68668 111.892044 332.32736 8 0.4662493 338.45764 293.91846 406.599 335.6629 8 0.32418543 291.0271 0.3482294 330.16638 29.235996 8 0.23033495 0.09761429 317.2447 22.802912 340.53406 8 0.18121874 238.85158 2.2453308 274.11853 61.243214 8 0.09864785 237.75546 267.84232 386.44662 375.6356 8 0.07531933 1.0831757 264.53296 211.56436 345.76056 ,batch_01_vt/0070.jpg
1 0.91507024 70.006775 235.80707 106.574844 252.59586 1 0.5298484 81.410034 218.26411 113.95659 238.65562 1 0.23181471 305.8702 215.88396 342.1863 237.1027 1 0.1352693 218.658 260.83704 235.98958 276.20068 1 0.10882419 88.98881 223.33571 112.733116 241.76775 1 0.09526295 313.54715 235.92528 343.4955 260.69818 1 0.08872395 388.58252 292.11197 418.71936 310.3569 1 0.08651226 76.35126 227.65923 112.25058 249.40742 1 0.066468455 288.3376 220.22237 311.81213 238.95613 2 0.2196344 306.99753 216.13728 343.17484 237.59325 2 0.06343759 313.60983 235.87285 343.31686 260.6133 2 0.054673843 307.3309 214.15475 344.79605 259.89026 4 0.22471288 288.04016 219.82437 311.99005 240.12277 6 0.098157264 307.60074 214.72452 344.05783 238.12021 6 0.0871695 361.32724 214.8883 373.75388 269.0823 8 0.99981457 49.785503 235.8557 164.5839 297.977 8 0.9997943 120.79123 247.72928 280.70712 362.5289 8 0.99971944 264.7051 195.52554 408.624 352.0936 8 0.99863833 115.48501 160.26866 266.47803 271.57724 8 0.9891907 260.0777 182.47633 331.87354 229.42317 8 0.10858168 189.49649 192.01855 267.1705 273.36664 8 0.09807754 285.45322 198.01605 348.85208 231.42136 8 0.09599163 280.23264 183.92865 362.60086 238.35867 8 0.088668756 306.91898 216.18661 343.24564 237.54294 8 0.08023333 361.32483 214.69774 373.82214 268.94897 8 0.05591 287.8606 219.85106 311.67328 239.45335 8 0.053332623 118.7561 159.82762 164.00629 176.72456 8 0.051459514 69.84622 235.31361 108.47658 253.33324 ,batch_01_vt/0076.jpg
1 0.30175206 381.13376 170.57237 403.9567 201.38768 1 0.071381226 246.9213 223.05005 313.86252 244.80273 1 0.05191287 318.83105 161.28915 345.46277 189.56598 2 0.1124232 381.1135 171.15176 404.01047 201.42844 2 0.08819832 450.12912 341.8939 473.55844 366.58884 2 0.07909944 319.48996 158.8333 405.35983 200.43196 3 0.2860903 319.97488 163.78586 391.0659 196.31882 3 0.12552719 318.91757 166.16768 346.2634 191.0724 4 0.13957201 459.4104 352.25104 511.22614 397.83795 4 0.06481668 471.84406 339.46292 489.44196 358.9695 5 0.07084499 459.47223 352.12228 511.67114 397.78244 6 0.44114557 459.73154 351.52393 511.0165 398.27466 6 0.32745343 301.90512 184.26459 327.52005 203.90729 6 0.17701149 400.1277 197.12242 423.78925 209.5913 6 0.15534118 436.39505 365.81375 467.74704 411.21616 6 0.15258594 286.18207 184.15375 327.13495 212.73468 6 0.15046333 400.71967 178.10008 416.36035 198.48595 6 0.07520039 401.10156 174.60411 431.29608 199.41624 8 0.9994831 98.48452 118.98389 211.47446 266.0732 8 0.9992499 338.8019 266.4114 475.73178 415.1852 8 0.9983901 394.0597 400.59708 512.0 512.0 8 0.99799204 121.77494 224.98608 266.88095 329.8567 8 0.9976858 195.04633 86.323235 289.21347 218.31403 8 0.9976301 196.7627 315.02118 426.48108 470.37573 8 0.9971891 290.43362 165.31026 437.3099 285.95374 8 0.9948691 431.72556 148.0558 511.92892 244.57869 8 0.99039596 195.87457 206.91428 273.37735 253.51807 8 0.9747138 435.99326 203.21576 511.58994 358.0536 8 0.95860195 377.66425 0.55435944 512.0 199.83661 8 0.8641084 315.84058 106.859604 411.90076 186.99751 8 0.8492936 292.30844 265.8445 414.69528 316.0566 8 0.82398874 175.9604 197.28351 230.60023 236.55148 8 0.7558772 405.2557 227.77853 467.45395 273.07016 8 0.7385023 222.77197 241.89539 300.30017 311.0506 8 0.64015067 285.3783 180.18379 326.8985 221.75652 8 0.5845763 208.27365 302.9414 346.99918 340.65265 8 0.5123553 458.89706 347.46283 512.0 411.45154 8 0.5006933 195.19688 94.457565 236.3745 185.14323 8 0.46291688 400.0811 100.189804 511.7947 189.36919 8 0.42661035 318.2511 156.75642 405.04993 200.15346 8 0.24004202 436.63144 363.8183 471.5859 411.36566 8 0.20611477 216.68129 299.93903 301.0936 325.45746 8 0.20481013 196.32318 301.13437 350.6493 379.67404 8 0.1762697 401.1496 174.43472 431.27588 199.42978 8 0.13545445 179.6525 199.59215 310.18146 263.6308 8 0.13178353 285.88342 188.30472 312.30566 220.80423 8 0.120131224 450.2448 341.89734 473.5221 366.58276 8 0.114379145 248.84229 225.31804 315.20502 245.69283 8 0.09916731 299.6812 314.09628 349.9336 343.66794 8 0.09538619 400.7095 178.04903 416.3185 198.41914 8 0.08997526 372.32526 492.04633 404.08368 512.0 8 0.08362592 382.86328 169.13924 436.38177 241.05244 8 0.079529606 400.1273 197.14656 423.76736 209.59465 8 0.068879806 229.8937 209.08214 310.77408 270.2638 8 0.063470304 294.57092 315.2316 347.6552 329.89383 8 0.059159257 381.0846 171.2057 404.07355 201.5612 8 0.05906076 304.16452 181.54022 327.14664 204.29593 8 0.055895127 287.12216 252.52383 306.57846 316.33792 ,batch_01_vt/0078.jpg
1 0.9995127 216.07962 196.85632 263.24625 267.95804 6 0.9997712 97.63862 241.6375 276.00995 322.8285 ,batch_01_vt/0096.jpg
1 0.4327616 397.77948 214.18326 424.62537 232.6644 1 0.112226896 13.415218 173.54048 55.22983 192.19633 2 0.99439067 217.90974 171.21246 363.20123 307.0385 2 0.95644414 169.55072 33.69654 223.31573 286.32782 2 0.25620288 13.648762 173.65988 54.886402 189.56143 2 0.21009721 287.10486 291.4484 433.04248 379.142 2 0.20670155 167.34885 166.5615 210.04135 289.28125 2 0.064612016 397.6194 214.0998 424.80273 232.69302 4 0.08877884 286.91513 290.51428 434.20163 378.96942 6 0.5440385 297.1164 324.5725 374.6056 381.18506 6 0.4921887 323.92215 341.07178 374.85184 383.97278 6 0.4016738 282.07855 315.14917 428.9583 380.6031 6 0.32924715 277.40497 322.38474 346.94385 380.0663 6 0.14354672 277.06302 325.22287 291.99765 379.0925 6 0.052635517 315.07162 322.1312 346.83456 343.79202 8 0.99972004 0.0 311.76227 239.15042 510.90253 8 0.9993305 134.75235 275.45157 291.90433 450.00333 8 0.99931073 39.61219 238.12025 184.39471 346.36368 8 0.9992811 264.07672 289.68814 438.45624 470.8124 8 0.99735653 359.08017 214.71156 485.47208 372.72528 8 0.99609023 0.04286766 174.5393 59.842773 261.1721 8 0.9835073 0.096977234 244.15952 71.28596 327.55753 8 0.8483777 182.535 275.39297 294.55905 360.33218 8 0.7050262 319.19785 229.40051 377.9739 262.80194 8 0.539561 317.93198 229.28252 397.11172 285.57834 8 0.2954475 288.3547 322.42447 346.36325 380.192 8 0.22955064 0.121356964 243.55911 70.72232 419.60196 8 0.12793116 281.66516 322.52002 414.12598 380.19 8 0.07398583 317.58554 218.67838 425.90793 262.27277 ,batch_01_vt/0101.jpg
0 0.41705152 89.84372 256.55255 304.97275 401.9212 2 0.68128467 433.06967 115.905106 512.0 316.417 2 0.23537569 83.22043 0.0 429.08078 63.237335 2 0.22928557 397.83362 116.25412 511.57117 511.40305 2 0.14557831 88.501495 254.89117 305.39474 402.47662 2 0.082447745 405.1496 415.45627 511.45703 512.0 2 0.08167263 437.0582 409.23215 512.0 423.2415 4 0.33832744 467.28323 347.1244 511.48404 409.48676 5 0.056466453 92.77228 351.86935 166.41907 395.7712 6 0.40291333 87.801674 254.67322 306.85403 402.33685 8 0.9991099 0.0 114.0056 444.11127 511.07812 8 0.94790536 81.51347 0.0 428.10596 63.248356 8 0.42981702 405.11423 414.93515 512.0 512.0 8 0.07398455 489.5409 483.7918 512.0 512.0 ,batch_01_vt/0122.jpg
