PredictionString,image_id
1 0.54907906 164.89125 77.00554 255.09071 165.6818 1 0.09942553 184.42351 360.74634 207.65001 398.5636 2 0.07439664 344.2509 34.867977 366.44827 44.950626 8 0.9996977 174.86241 234.82779 461.10077 470.324 ,batch_01_vt/0021.jpg
1 0.13952738 286.46478 342.69116 306.09314 374.87146 8 0.9998424 159.39769 58.497246 471.9381 254.87994 8 0.9996617 285.9787 184.55573 487.97363 433.56073 8 0.9966185 0.008651733 248.76408 306.32666 458.74628 8 0.99506134 457.0749 349.02216 512.0 435.2292 ,batch_01_vt/0028.jpg
1 0.99839765 69.73506 169.71613 373.48737 378.68848 ,batch_01_vt/0031.jpg
8 0.99950635 35.3248 121.01062 389.52972 377.1418 ,batch_01_vt/0032.jpg
1 0.986864 389.36154 272.57474 472.86185 344.204 1 0.40216377 316.80127 241.81062 411.39362 297.57437 1 0.13264313 199.85144 276.96988 260.43866 287.69717 1 0.11894596 37.682617 458.40448 74.674934 472.87006 1 0.11722443 242.1466 401.49377 276.7328 458.51093 1 0.06350306 375.91876 266.89932 508.04102 297.74637 1 0.056132402 330.98373 287.18796 410.53232 298.58145 2 0.99494064 364.1661 164.16403 512.0 293.29465 2 0.689039 75.46964 434.1085 229.39542 512.0 2 0.66799796 0.0326519 491.02182 43.262077 512.0 2 0.58090687 238.73788 25.58475 274.33963 76.391815 2 0.5365446 37.701927 458.33728 74.83115 472.8769 2 0.34874535 21.884369 138.45343 390.35065 270.8321 2 0.3423041 315.87708 241.87083 415.21637 297.35425 2 0.3128628 241.98569 401.56793 276.80527 458.53314 2 0.28035334 0.41578388 454.22382 20.420654 491.9447 2 0.2219463 71.72218 463.97342 121.57176 492.4852 2 0.17978024 0.09838867 490.58957 21.251982 511.90128 2 0.14223655 72.89671 434.54782 178.16272 489.74185 2 0.13303138 328.2221 287.25897 411.06915 298.89252 2 0.1003924 223.40523 390.20508 252.62837 448.85596 2 0.094513714 469.65424 274.94025 510.23138 289.8427 2 0.08487473 460.28537 214.81221 511.81985 259.97992 2 0.08091991 176.94365 204.10204 211.64635 218.7849 2 0.07321146 73.118256 453.23355 154.8909 493.05685 2 0.07067644 92.527954 449.81573 160.81184 475.3275 2 0.061301205 378.05493 261.5912 504.65723 295.54126 2 0.056244325 27.083282 212.06546 382.4202 278.37057 2 0.05467784 60.36387 252.78702 288.28003 286.5685 2 0.054489095 200.61026 278.14362 259.89764 307.1328 2 0.053855833 0.008869171 455.4086 44.25438 511.8386 6 0.9922275 163.2879 298.60504 282.38373 375.98016 6 0.419935 238.43622 266.69647 388.36218 374.52185 6 0.29238614 270.49985 336.25708 301.62344 357.46106 6 0.27226996 228.60887 390.03522 276.70093 458.4937 6 0.26912957 226.62003 390.36377 253.59875 448.77124 6 0.26578543 337.7001 294.11557 398.96384 332.31137 6 0.21723932 270.30893 336.74918 287.25735 356.07895 6 0.20798561 238.2686 4.227909 274.7746 76.48074 6 0.085282296 110.34853 255.88043 280.38892 283.01917 6 0.07239753 291.36557 0.11488819 312.95554 23.721497 6 0.068684295 74.165764 435.35876 233.57922 512.0 7 0.99396294 0.01678276 86.34892 48.11257 135.52113 7 0.7979894 150.51233 192.94812 194.48114 219.76465 7 0.44126296 200.49422 278.18878 260.13147 307.3357 7 0.057070445 161.7988 192.2218 291.4 220.47763 8 0.9996146 44.03322 59.87909 183.97708 218.08447 8 0.9995115 150.35895 0.0 354.38483 218.89066 8 0.99868745 163.28033 347.06635 350.75165 498.13086 8 0.99718034 0.0 262.3143 212.7782 470.06277 8 0.989427 0.0 197.60043 64.30433 316.99228 8 0.9564472 288.8268 135.25256 359.71774 220.66336 8 0.9286842 0.0 126.28855 42.17363 212.64941 8 0.7444214 238.14182 266.89474 387.2585 375.32724 8 0.4165641 0.0036821365 318.32693 24.287037 339.38333 8 0.30306822 337.29474 293.3996 402.60608 332.1488 8 0.23001154 76.5256 433.73465 230.10486 512.0 8 0.20148996 315.22498 241.41663 414.95605 297.97913 8 0.16873433 181.56439 137.9036 353.7329 219.43872 8 0.16386563 0.3033905 261.6277 211.52893 349.453 8 0.10320196 9.90358 268.20154 121.31073 330.5274 8 0.0817704 176.80197 204.08055 211.68 218.76945 8 0.057597972 181.87663 188.09985 298.69217 219.73639 8 0.056631614 0.010622025 309.7672 36.159233 338.45544 ,batch_01_vt/0070.jpg
0 0.05205438 388.77267 292.5056 419.06485 310.8026 1 0.40181708 70.129234 236.54211 106.7066 252.25546 1 0.32621092 80.24097 218.575 113.69754 239.12794 1 0.15665816 74.31302 222.27286 113.333435 251.41779 1 0.15231302 94.71711 226.28299 110.25103 242.3627 1 0.1251422 79.400795 225.7285 106.196785 240.81349 1 0.1167338 78.31845 231.69617 105.924164 246.79459 1 0.115442306 218.80794 261.0477 236.24962 275.75583 1 0.113662735 313.81567 233.1732 343.35516 259.7408 1 0.069983415 308.53854 219.41162 327.7889 238.52805 1 0.06504644 389.04047 292.66293 418.75952 310.6509 1 0.062073007 307.46674 216.46767 343.39697 237.59401 2 0.3995163 313.72122 233.06482 343.40103 259.67075 2 0.32874897 80.1723 218.6075 113.63306 239.08708 2 0.191162 94.76116 226.2926 110.26069 242.36536 2 0.16426085 70.02182 232.78763 111.332016 253.0484 2 0.09442488 81.84772 227.27951 112.71101 243.52078 2 0.09391754 361.02353 229.44499 373.22073 267.4849 2 0.09391319 78.664734 234.99452 104.94673 249.22752 6 0.15952508 279.88837 242.86963 311.8423 266.4628 6 0.082411505 94.750404 226.2952 110.24319 242.34296 6 0.06527016 361.21155 216.17638 373.23083 267.39932 8 0.9997861 123.1743 247.8844 279.39642 363.10828 8 0.9995716 264.7889 196.44205 408.35733 351.73288 8 0.9994454 49.851612 236.84412 164.97427 297.9956 8 0.9957016 117.45501 159.91904 265.3883 269.32867 8 0.9599664 259.60538 176.55241 363.8066 229.22264 8 0.9304265 403.7384 267.79572 491.51385 297.4983 8 0.5314852 132.93114 171.83571 185.99055 210.49043 8 0.4014988 69.87627 234.1966 109.10303 253.42401 8 0.1312078 288.80624 215.13785 343.62088 240.16809 8 0.12137425 262.73108 183.29482 386.83722 260.02832 8 0.118676454 283.63852 176.52194 363.16934 210.77975 8 0.11227491 262.15936 181.84232 330.107 220.54498 8 0.10738173 78.72161 234.95406 104.97329 249.29033 8 0.07993976 74.176025 222.0223 113.35878 251.42348 8 0.079906866 94.71629 226.30513 110.20224 242.34258 8 0.07256268 361.1873 215.99603 373.24362 267.1447 8 0.062034633 117.69774 159.79176 202.30168 210.16881 8 0.06016633 289.08008 219.01723 322.46863 239.2022 8 0.050937705 325.74866 177.49641 363.32928 210.20528 8 0.050663814 81.88089 227.21254 112.64011 243.528 8 0.050541524 265.73853 193.78864 358.69086 241.10141 ,batch_01_vt/0076.jpg
1 0.395308 380.83237 170.04579 404.38895 201.02946 1 0.19028515 405.44354 232.09998 464.69165 272.12827 1 0.11353315 324.1286 167.65746 405.1839 200.28102 1 0.0545193 433.52905 233.46101 465.05664 251.33064 2 0.3604769 318.5211 159.90169 405.9008 201.04762 2 0.30604085 405.30875 231.49251 463.91745 272.67813 2 0.11609881 284.91953 245.0629 301.29416 269.03433 2 0.11124438 329.24576 168.5471 387.95682 195.62834 2 0.10921695 436.7704 392.96677 466.7469 411.05692 2 0.10033933 246.4827 218.95815 313.23 244.8799 2 0.09520264 381.00494 170.21523 403.58423 201.41685 2 0.060369235 303.84344 184.27673 326.64307 203.46872 2 0.05397256 407.14087 253.69203 455.3825 272.32178 3 0.15508072 323.7359 167.72986 405.5197 200.30914 3 0.06843156 380.98737 170.42961 403.61914 201.30437 6 0.3415185 370.34753 493.30768 404.63232 512.0 6 0.19096701 459.39502 350.5509 511.47266 411.99408 6 0.1866751 246.49635 218.97673 313.1278 244.99712 6 0.14089862 286.27197 190.17726 307.32092 213.47255 6 0.1274076 442.12625 367.22607 465.34402 396.52692 6 0.06763007 401.18594 175.8247 419.49344 199.72028 6 0.06696098 303.86874 184.3002 326.6284 203.48581 6 0.060284305 405.34775 231.69746 462.93112 271.99402 6 0.05984553 369.67468 441.3212 404.6983 470.92813 8 0.99931455 98.38105 118.85447 210.45099 268.53537 8 0.99879396 210.79884 314.87497 426.92053 471.6461 8 0.99857175 338.62 267.58798 475.9917 414.93137 8 0.9974559 193.63336 86.20063 288.68106 217.65079 8 0.9943277 286.72482 168.96681 436.72006 287.2185 8 0.9939989 195.85344 203.71631 279.4289 254.3721 8 0.992 378.0522 0.0 511.87018 117.96614 8 0.9912287 394.23224 402.10638 511.9568 511.75757 8 0.96583384 433.16666 201.46545 511.92905 357.84772 8 0.96209407 121.441795 227.08786 300.6433 329.83188 8 0.9262105 400.552 97.689674 511.75262 231.79932 8 0.9207708 196.62036 314.7802 349.72467 377.7398 8 0.85481644 297.47787 268.3885 393.7886 315.6726 8 0.81998557 458.55698 347.32495 511.41135 412.42505 8 0.7442465 176.12231 197.21767 232.11417 235.2408 8 0.6993173 284.12915 106.691574 410.53235 198.95476 8 0.69688475 430.80325 148.40076 511.9647 241.0232 8 0.48220634 214.36418 241.17032 300.334 325.3939 8 0.39802077 246.62238 218.93674 313.2329 244.8819 8 0.39546713 436.533 367.38293 468.18307 411.339 8 0.3864796 319.02673 155.2115 406.2292 200.73146 8 0.29818028 296.70807 314.49924 349.242 343.78433 8 0.2831938 285.59363 181.31091 326.59253 221.50946 8 0.2473844 405.20673 225.76294 468.2473 271.9364 8 0.24555041 285.9734 267.8976 306.0296 317.35458 8 0.23564896 195.33334 94.01285 237.17313 190.28113 8 0.21204066 369.79364 441.28006 404.69812 470.91592 8 0.17914407 436.78662 392.94897 466.78253 411.0932 8 0.16756774 246.58862 220.36768 311.64294 268.32904 8 0.1506189 303.87805 184.24977 326.6189 203.46687 8 0.12234143 202.0485 183.93463 230.21161 202.37808 8 0.1181922 437.48755 343.1128 490.36572 411.224 8 0.097056404 285.0197 244.11229 301.6117 269.0405 8 0.09697422 450.36057 341.08685 478.09335 368.26648 8 0.09573061 263.2423 204.3883 294.38147 220.21826 8 0.08312807 442.0897 367.17444 465.32346 396.5971 8 0.081816964 231.93184 201.7134 307.23868 249.58363 8 0.08142856 286.2612 190.15804 307.3121 213.53688 8 0.070100315 372.03027 493.27747 404.6443 512.0 8 0.06595864 197.05124 250.19725 306.45273 377.5353 8 0.054979127 214.92387 285.83734 302.4657 326.83752 8 0.051914956 286.86566 184.81204 324.78394 205.49643 ,batch_01_vt/0078.jpg
1 0.9960886 214.84303 196.80046 263.20505 271.11008 6 0.99980193 97.978874 240.42053 276.2123 323.10706 ,batch_01_vt/0096.jpg
0 0.43589738 286.85226 322.89908 346.01334 379.88718 0 0.06268993 316.38083 322.8506 345.90012 343.9701 1 0.29095948 359.4602 213.53537 486.64258 372.7061 1 0.13272825 215.94344 172.01785 364.45605 307.51782 1 0.11807359 398.30994 214.05386 424.6303 231.51688 1 0.09747474 281.0011 289.99417 437.16608 382.8726 1 0.054357603 316.33838 322.23434 343.74493 344.08127 1 0.053390693 11.278328 173.89049 54.885887 191.04643 2 0.6156056 10.765385 173.82828 54.921444 192.98355 2 0.38939312 295.42715 291.01324 432.92972 377.09796 2 0.23516639 41.36906 249.40446 64.7298 258.88446 2 0.1409503 168.96011 31.958427 219.32083 283.50043 2 0.10293697 215.8829 171.55597 363.9727 307.34003 5 0.11875406 316.12366 321.94232 345.49115 343.33246 6 0.36572525 294.2167 289.4897 432.45218 381.06073 6 0.21330515 318.8567 338.66855 374.51166 381.94534 6 0.19376327 276.18286 322.14844 345.42065 380.33856 6 0.1137624 293.8908 322.37036 401.66602 383.6552 6 0.072233096 316.51947 322.18494 345.55426 343.411 6 0.07202976 276.50833 324.15588 291.558 378.78247 6 0.066976555 261.751 340.17786 281.3254 379.57434 8 0.9998889 0.17286682 312.56418 237.6402 511.05984 8 0.99956423 41.429962 238.07903 184.58527 346.45142 8 0.9986584 264.8874 288.61115 438.87982 470.21124 8 0.9981565 137.01447 274.6461 294.73672 449.02634 8 0.99538714 0.0 245.06297 71.1832 327.6517 8 0.9934708 0.0 174.91292 59.85417 260.30923 8 0.9872875 317.1822 229.4434 378.67218 288.51294 8 0.97377354 360.1271 213.6656 485.9509 373.24036 8 0.64423853 281.64355 288.48987 436.6947 383.37964 8 0.34256127 277.56143 321.97406 346.09647 380.76935 8 0.120511614 293.13864 322.26544 402.00906 383.4226 8 0.10705909 179.65366 275.67142 294.01117 356.40964 10 0.070718706 282.3472 322.31836 374.49716 380.07617 ,batch_01_vt/0101.jpg
0 0.090225585 468.08313 348.0806 512.0 409.64108 1 0.16161342 403.70218 414.73218 512.0 512.0 1 0.054971162 438.6049 408.29788 511.62924 422.25253 2 0.98868644 88.70683 253.03105 306.32062 401.82855 2 0.9001792 394.3463 116.171745 512.0 348.06433 2 0.47538525 437.97455 408.20572 511.9478 423.00992 2 0.45026198 436.33044 280.48434 511.9154 403.01773 2 0.4485994 404.19788 411.12695 511.79474 511.96033 2 0.4060253 94.754776 0.0 425.04486 63.417503 2 0.16248158 438.56335 391.97314 511.55695 422.93085 2 0.07268948 438.88074 274.37454 512.0 308.4028 4 0.35737118 467.6456 346.45895 512.0 409.6981 8 0.9948795 0.0 113.80817 446.58386 511.76733 8 0.87541884 91.81651 0.10431099 428.10657 63.361282 ,batch_01_vt/0122.jpg
