PredictionString,image_id
8 0.9998104 173.12177 235.18382 461.4632 469.52228 ,batch_01_vt/0021.jpg
1 0.11901204 271.91815 250.30777 304.82477 263.22354 1 0.11176704 285.03726 344.18918 305.56668 375.23495 1 0.07584983 361.3323 424.4904 380.00742 434.74356 6 0.39866626 285.26373 343.70422 305.87213 375.7176 8 0.9995185 159.15594 61.048996 470.01166 256.3075 8 0.998171 1.1735687 245.96457 304.34436 458.18265 8 0.99629337 286.39243 190.8009 489.83408 434.23273 8 0.9740969 456.78897 348.87018 512.0 437.17236 8 0.06780593 272.17578 238.6919 327.37378 265.32233 8 0.053657994 271.39606 247.2987 308.20532 262.54688 ,batch_01_vt/0028.jpg
1 0.99209154 70.60741 170.31992 372.16022 380.54288 1 0.05158361 233.8063 461.18295 302.81064 511.82877 2 0.18517616 233.70598 461.28418 303.1131 511.36127 2 0.051524017 254.55077 483.0474 294.9377 511.82413 ,batch_01_vt/0031.jpg
1 0.07977649 296.78503 271.8297 310.81787 289.73895 2 0.05086241 298.61884 157.84055 359.53522 227.47461 8 0.98272747 32.785156 122.01778 387.9116 376.8758 8 0.26937288 31.509964 229.93872 336.10394 376.0716 8 0.134014 225.87341 287.5978 243.99796 306.26077 ,batch_01_vt/0032.jpg
0 0.08772709 115.014145 256.5252 283.7989 280.11145 0 0.05011866 16.115768 144.594 382.76642 269.0772 1 0.9563992 389.41034 270.99512 473.3468 343.9303 1 0.3610273 290.96585 0.42079258 315.3724 24.217686 1 0.15941899 389.17664 237.39677 511.8017 346.15262 1 0.124044545 37.72468 459.32617 73.785675 473.01617 1 0.06333745 115.94065 256.7763 284.05862 279.9485 1 0.059467316 199.48807 277.28415 259.3218 286.46457 1 0.05501722 73.887054 434.89737 228.86908 511.86453 1 0.052845627 331.41055 288.224 413.38016 299.063 1 0.05045826 471.21518 275.67215 511.08817 289.88022 2 0.9939016 361.9475 164.62012 511.65106 294.30746 2 0.85779727 317.0878 241.89828 418.99295 299.12637 2 0.6537915 0.0 489.69733 43.95764 511.94684 2 0.51566553 238.41948 38.10607 273.14597 76.81207 2 0.3806844 73.335205 435.7258 229.94147 512.0 2 0.2881349 0.23396301 453.1662 99.347786 512.0 2 0.2517692 331.40106 287.32684 418.59796 299.08887 2 0.23452261 37.745064 459.3617 73.91931 472.9992 2 0.23058827 471.1989 275.72867 511.30432 289.83792 2 0.19163153 73.35359 464.30743 123.59239 495.4655 2 0.1629906 0.0 458.9299 19.336964 490.9338 2 0.15887319 0.0 434.83008 181.41296 512.0 2 0.14162867 72.30865 434.08633 173.75812 492.3472 2 0.12799545 0.0 455.60556 43.009064 512.0 2 0.12699765 239.57716 58.17921 272.60315 77.03379 2 0.12639658 24.062775 138.90236 385.81644 268.20807 2 0.11858134 387.96127 238.7874 512.0 346.3094 2 0.10928202 458.5452 214.74622 512.0 258.84595 2 0.09748909 69.863174 462.0513 125.76921 478.74234 2 0.09263626 291.14478 0.97231674 315.28674 23.569572 2 0.091848895 0.1877861 486.61578 20.498316 511.7074 2 0.0880419 38.304737 438.47006 130.0493 473.3975 2 0.085292876 69.75145 464.03864 104.069916 489.60828 2 0.068150565 69.37474 464.4405 89.505585 482.81696 2 0.06625807 97.13751 463.16302 128.1595 475.72565 2 0.063424826 43.742645 246.48447 406.61746 288.88333 2 0.056237567 115.65263 256.5718 283.9389 279.97134 3 0.05379117 37.870525 459.3568 73.90047 473.06213 5 0.18939209 227.66815 389.23022 282.2729 458.98645 6 0.88835573 237.18262 267.0705 387.60657 374.66992 6 0.83337015 168.78174 298.55768 283.98434 375.85437 6 0.24323116 116.45006 256.7645 283.46777 279.91208 6 0.20161405 150.42046 191.6991 193.82048 220.35944 6 0.14913681 228.10847 391.11493 278.63498 459.21387 6 0.11842174 0.0 262.091 212.95169 468.2173 6 0.09765322 74.2104 433.13483 235.61888 510.79156 6 0.067385934 155.55807 298.87073 289.92157 430.8145 6 0.057761982 37.759853 459.34695 73.87953 472.97983 6 0.050940495 270.68958 336.72565 287.24878 355.91602 7 0.9762319 0.28419876 86.42734 47.084595 136.00775 7 0.6526276 199.91364 278.33328 258.81577 308.06747 7 0.45339316 22.673538 140.03085 388.1853 274.60846 7 0.24576086 150.632 192.10951 194.11226 219.69533 7 0.112280965 178.76201 134.6525 356.78802 220.99081 7 0.10288366 236.04767 267.4562 387.66656 375.1536 7 0.060333494 178.10901 180.47923 310.87222 221.0374 7 0.060111534 151.0842 297.33923 288.4024 404.5282 7 0.05029267 113.76269 260.87384 261.7808 302.35406 8 0.9997004 43.29106 60.155357 193.87944 218.54987 8 0.9995964 150.67429 0.29716492 354.66623 219.84308 8 0.99837494 158.98466 349.10095 350.95972 500.80115 8 0.97520113 0.0 261.87964 213.5971 469.0893 8 0.97405696 0.38204765 196.68329 64.19485 317.21558 8 0.96755487 0.09812164 125.63342 41.015514 212.08136 8 0.78252447 338.49594 295.3207 397.06052 332.3882 8 0.74877995 159.56781 134.01927 356.3318 220.61995 8 0.40643793 0.624588 262.71057 145.80489 348.76324 8 0.31001675 72.874916 434.72998 230.06262 511.82947 8 0.30717003 0.50647354 205.10364 110.40401 347.60358 8 0.27483487 150.33592 191.09297 193.61134 219.94084 8 0.2629476 288.2337 131.3961 357.471 220.56541 8 0.21163104 0.090423584 317.23984 22.088142 340.94974 8 0.13337111 235.94894 266.70856 387.93393 374.70447 8 0.060026746 69.17351 187.82863 196.24232 220.00267 8 0.05992019 151.6342 143.85674 214.40776 219.41133 8 0.05555083 116.19459 256.73593 283.80533 279.82938 ,batch_01_vt/0070.jpg
1 0.59717983 388.3414 292.57382 419.38718 310.69455 1 0.43158343 70.42558 235.55861 108.09241 252.46086 1 0.42670113 92.5835 224.29181 113.14297 239.5261 1 0.19518799 85.26764 219.35272 113.696335 237.43475 1 0.17959933 387.21988 267.75925 494.2186 310.47305 1 0.09085446 407.52844 269.1443 487.88623 296.5426 1 0.08757301 79.31238 224.54623 112.702194 242.91666 1 0.085594185 361.34274 216.243 372.8575 237.0125 1 0.068700925 68.55378 224.79802 113.23118 253.52345 1 0.060603935 175.41422 438.72275 205.80481 447.98746 2 0.5144311 77.96003 219.05962 114.06199 238.86089 2 0.1635675 70.39262 236.05203 107.82966 252.62836 2 0.11617643 92.557556 224.31595 113.143585 239.48984 2 0.07434273 67.87571 219.28043 114.03063 253.26309 2 0.0734562 361.3461 216.16637 372.88223 236.98332 2 0.063243 311.28122 234.66402 343.99643 260.21112 3 0.11236029 70.41266 235.99382 107.55342 252.50536 6 0.08144915 279.8041 239.64792 333.55154 277.32944 6 0.077412896 69.81868 234.08215 110.76332 252.83847 6 0.05849556 279.12274 240.62086 315.7138 267.43243 7 0.05268717 388.3521 292.5867 419.33612 310.6121 8 0.9998276 121.83386 246.06934 280.17245 361.36896 8 0.99977607 264.4216 196.71967 408.70047 350.84723 8 0.9996076 49.823875 236.2423 165.19354 298.22925 8 0.9980868 116.90176 160.88698 265.93332 267.79218 8 0.9710614 261.6975 181.60013 329.90112 226.77606 8 0.63116 307.1382 218.4119 345.48044 260.20776 8 0.5823822 306.76184 214.51122 344.66235 238.52599 8 0.57979065 388.722 267.77652 493.7621 302.9017 8 0.35546458 288.59772 219.895 310.9439 239.73766 8 0.33620393 317.73706 177.9106 362.46362 211.40471 8 0.31134278 278.5643 239.21269 338.9376 278.5144 8 0.248614 289.6237 197.9477 349.4877 259.6685 8 0.2357443 115.64226 159.32904 185.11897 212.00992 8 0.2306619 277.84854 176.48845 363.1636 212.7192 8 0.2099581 69.794785 235.20427 109.172104 252.90327 8 0.11490097 310.15833 236.24754 342.9261 260.24588 8 0.110314935 306.02884 207.61537 374.70596 260.2539 8 0.10169475 119.84116 159.2153 158.62033 176.60254 8 0.09969594 314.0102 246.72052 333.91907 260.71887 8 0.089856334 259.78696 181.51031 335.77505 263.52734 8 0.08382421 274.10553 183.54633 361.67932 240.07886 8 0.077385485 141.02863 180.56834 183.55286 209.3412 8 0.06623857 361.32584 216.15865 372.8705 237.0164 8 0.057779573 291.59415 181.89265 328.6257 200.85027 8 0.052948225 276.08508 213.62811 348.43384 279.95084 ,batch_01_vt/0076.jpg
1 0.12627284 272.20792 402.12485 320.07034 413.19833 1 0.09879269 155.63078 358.939 203.79854 385.2764 2 0.32128206 323.3371 164.38217 403.40344 202.45541 2 0.08378691 272.41656 402.16754 319.93878 413.13794 3 0.07934937 323.60434 164.04861 403.6943 202.29453 6 0.7518478 223.52805 242.2929 296.34213 303.05423 6 0.3568643 245.68466 218.81674 312.1064 246.32828 6 0.20956707 272.28973 402.14984 320.05762 413.17017 6 0.17517059 465.75345 355.07663 511.78622 396.55838 6 0.12566383 218.14684 301.8028 292.18893 324.74396 6 0.12150551 275.2207 393.21152 336.41113 414.051 6 0.09553328 304.61032 184.74773 326.51974 203.06804 6 0.06952186 134.17877 253.44055 218.20999 303.9124 6 0.06514537 285.98816 190.383 309.65466 207.11667 6 0.05043855 245.54501 218.701 311.08865 283.7899 8 0.9992975 337.77255 267.5849 471.97275 414.67755 8 0.9992429 98.82654 118.84005 209.61224 264.49423 8 0.9965395 214.99884 319.44244 417.61383 470.55066 8 0.9958145 395.829 399.18625 511.93216 512.0 8 0.9948213 192.03499 86.83871 288.24026 216.75446 8 0.99394554 377.60257 0.007938385 511.79697 119.43407 8 0.9833348 438.1506 199.40399 511.66727 354.7849 8 0.98162216 401.33594 147.5446 512.0 274.31528 8 0.9771049 286.5919 174.20126 428.7502 286.37375 8 0.97521305 402.42413 98.705124 511.03955 188.9421 8 0.9112604 284.22354 107.9221 438.26968 257.2977 8 0.8659741 196.25552 203.2493 277.35593 254.09842 8 0.86222607 123.1956 224.34964 300.20264 326.2543 8 0.744095 196.38422 311.8937 348.25806 384.37375 8 0.7333975 460.39566 351.37677 512.0 411.87665 8 0.7126368 175.09683 197.9598 229.73203 236.72374 8 0.69777614 294.46475 269.90656 398.15878 315.67255 8 0.4498236 436.0609 364.58087 469.94165 411.6568 8 0.41181576 288.06216 311.47943 349.80978 344.1198 8 0.3269695 435.66956 340.92834 492.6374 412.03314 8 0.29779947 285.6011 177.84761 326.7479 220.83986 8 0.25021914 234.76122 335.55914 348.06537 400.62225 8 0.21355423 320.5658 158.58917 405.25677 201.83203 8 0.19389658 217.30594 300.508 290.8385 324.79065 8 0.17481984 319.67554 156.755 437.62427 240.14651 8 0.17456786 451.14514 340.2508 477.55377 367.27386 8 0.168774 214.51761 304.37302 346.20444 343.61014 8 0.15429117 377.6663 493.56528 404.21274 511.7139 8 0.14538202 285.1827 264.1113 306.4457 316.9935 8 0.14488062 313.33658 108.44774 408.9523 187.00838 8 0.14245383 253.20073 202.2834 279.57288 221.38066 8 0.13583703 284.4008 124.51863 349.45102 191.63084 8 0.12760791 402.31934 179.30673 464.15002 272.106 8 0.12262736 223.74626 241.85587 299.01782 302.87198 8 0.10945073 286.01385 190.40556 309.54626 207.06511 8 0.10514077 471.50885 339.53342 504.99127 358.31277 8 0.102890044 304.99387 184.48927 327.1837 202.84221 8 0.095907316 272.44095 402.11935 319.9517 413.1558 8 0.09526845 245.70262 218.93382 310.50818 246.83412 8 0.077532634 284.39648 235.89012 422.24353 315.28348 8 0.07549961 448.64456 338.82797 503.42722 369.8939 8 0.06859389 275.03397 202.53725 309.66916 221.00832 8 0.065449 270.90594 199.30162 295.75513 219.29402 8 0.056367356 270.7143 391.47235 339.43597 414.53406 8 0.053208046 194.78062 93.762726 239.11095 188.4534 ,batch_01_vt/0078.jpg
1 0.9944765 216.25082 196.73885 263.37778 268.55893 6 0.9978824 97.05153 242.49873 275.84973 324.72626 ,batch_01_vt/0096.jpg
1 0.91744703 358.8186 219.01819 485.34882 372.0453 1 0.7793022 397.54468 214.02444 425.26624 231.2633 1 0.438524 10.432602 173.44939 55.70056 197.80879 1 0.39769638 38.627155 238.76059 63.747852 260.7754 1 0.3187816 290.65448 290.36374 434.95636 383.04587 1 0.28852612 0.0 174.13568 60.617012 260.07672 1 0.18697679 215.94598 171.71414 360.1432 307.61786 1 0.096271016 409.29593 329.17865 429.8964 342.9284 1 0.09258021 40.818707 249.2871 66.046265 259.24622 1 0.090967774 0.0 173.41185 19.010979 197.59831 1 0.082103625 371.0438 300.31268 429.18887 348.8039 1 0.061724998 422.6599 228.0281 462.36835 238.961 2 0.875043 215.94507 172.79698 358.98163 307.68933 2 0.47124386 319.26666 292.20123 432.99066 380.45563 2 0.11997103 39.76695 245.94026 64.47121 259.66937 2 0.1098623 11.688692 173.74812 55.178642 193.36223 2 0.10764425 397.51633 214.05536 425.13742 231.38577 2 0.06031632 409.32547 329.22174 429.96347 342.9458 2 0.053692285 368.44745 299.91913 430.84027 360.9436 3 0.5088646 320.14786 293.45422 434.76425 378.62665 3 0.19692126 367.65118 299.7892 431.1833 361.5662 3 0.09915999 409.32086 329.25357 429.96765 343.05014 3 0.09169994 371.9788 310.26334 429.44455 343.15964 6 0.95356375 280.87262 321.31177 347.097 380.74493 6 0.15526392 278.41245 320.85617 315.32065 380.60165 6 0.1357453 280.6765 290.32126 434.7613 383.76175 6 0.13013953 329.47617 349.7277 373.95627 381.0964 6 0.09969989 353.8215 355.0174 376.64444 386.33795 6 0.08010577 314.7022 322.37448 346.6568 373.97122 6 0.060147535 277.60446 323.01212 292.50058 378.82016 7 0.16121131 261.90988 341.97687 280.86276 380.42554 8 0.999861 0.84228516 311.6888 238.19803 510.30893 8 0.99962044 138.1595 274.15894 292.72675 447.32526 8 0.99844724 36.511337 238.0872 184.60368 342.2234 8 0.99111205 264.11752 286.50592 439.88693 470.1687 8 0.97271097 0.16270065 245.14159 71.36713 337.35156 8 0.87790686 317.01328 229.33676 379.09708 289.82718 8 0.7735386 0.18070412 173.98666 60.509125 260.04514 8 0.27962506 357.6169 218.66266 485.37112 372.70636 8 0.23489693 0.16150284 242.96194 70.04295 438.87766 8 0.17685288 277.40936 288.53973 435.85608 382.6327 8 0.106770866 0.6798744 245.24469 54.191547 277.57544 8 0.07495061 397.48993 214.04881 425.20544 231.32484 8 0.05920749 39.727806 245.84087 64.42 259.72617 ,batch_01_vt/0101.jpg
0 0.112798415 156.49365 130.68259 264.02997 171.09747 0 0.06120889 468.73398 347.44638 512.0 409.52103 1 0.30822456 88.8436 0.5354843 422.35117 63.04463 1 0.25684083 400.03967 115.48097 510.39618 317.72034 1 0.06030334 439.08148 280.55774 511.6754 311.66174 1 0.05872744 436.5545 408.44086 511.85034 422.69702 1 0.05738099 157.5355 130.09227 261.30945 170.08788 2 0.9817089 161.1864 270.81927 300.8147 399.98193 2 0.92415637 86.547516 251.52373 223.94873 389.90717 2 0.8914128 392.9456 115.42038 511.5944 316.88858 2 0.78044194 91.76782 0.14527512 426.2931 62.732185 2 0.7115208 403.35135 418.13327 511.50784 511.5466 2 0.15660846 435.98013 394.62527 512.0 423.4034 2 0.15018584 436.53207 408.37848 512.0 422.6596 2 0.07032276 437.08072 280.37778 511.84055 407.25778 2 0.055864062 190.99876 234.89635 252.53102 283.4934 2 0.05217773 0.0 481.8184 90.796074 512.0 4 0.44620007 468.53787 347.24585 512.0 408.50378 5 0.06563649 468.3445 347.61917 512.0 409.38303 6 0.38102296 437.4559 279.36533 511.5986 411.16238 6 0.2986055 157.59073 130.27638 260.36673 170.29726 6 0.10006966 468.65286 347.1475 511.97617 408.86526 6 0.052558914 87.23319 251.91716 225.29697 388.7514 8 0.9978921 0.0 119.63536 446.40137 511.88983 8 0.3035222 190.5032 234.69728 252.18988 283.46173 8 0.24586 440.1917 461.10312 511.8556 511.68765 8 0.19416218 16.702515 116.957596 205.63293 193.74849 8 0.15657051 401.94946 414.8287 511.10913 511.24313 8 0.09865225 88.043045 0.7832737 420.2461 62.67833 8 0.06190304 194.09079 233.6643 234.3024 263.63245 10 0.05634604 157.83597 130.16104 261.61084 170.86081 ,batch_01_vt/0122.jpg
