PredictionString,image_id
4 0.068285264 343.92508 34.717216 366.31534 45.366127 8 0.9997665 174.49457 234.42702 460.10974 473.47693 ,batch_01_vt/0021.jpg
8 0.9992586 158.26231 60.445305 475.69263 254.70059 8 0.99841166 1.6415863 247.61572 305.95953 457.91113 8 0.9957871 284.30197 193.57547 487.94357 433.19052 8 0.9598379 457.41235 348.22 511.96918 435.82895 ,batch_01_vt/0028.jpg
1 0.99968827 69.531494 168.78886 373.5145 379.6067 ,batch_01_vt/0031.jpg
2 0.8353157 296.71286 155.67442 364.01028 229.62529 8 0.9997286 35.563004 123.39269 388.72827 376.68903 ,batch_01_vt/0032.jpg
0 0.06944609 109.88808 255.20512 282.10352 280.1136 1 0.9027343 389.87012 268.6163 507.7752 343.5883 1 0.29764187 198.3935 277.5068 258.8131 286.1932 1 0.09423408 0.0 86.77027 47.65664 94.930214 1 0.09178666 291.44476 1.1235857 318.66772 23.942272 1 0.0894164 37.004295 458.41006 80.6163 472.85385 1 0.08098902 71.80821 464.35303 106.99388 492.1421 1 0.071030974 160.42598 143.74875 179.00792 185.13657 1 0.07023588 330.5106 287.28632 410.45126 299.13696 2 0.996421 345.65524 166.43169 511.7308 293.3065 2 0.5833354 238.95265 39.63147 274.346 77.16904 2 0.40942693 316.99744 242.0263 417.94446 297.71295 2 0.2892447 326.59076 286.79135 415.3908 299.14127 2 0.28458703 0.022920609 455.16977 44.838074 512.0 2 0.22620201 36.981236 458.45212 82.72159 472.8043 2 0.21173963 0.0 490.01282 45.185127 511.51538 2 0.20126484 36.526596 130.04144 386.35046 274.56335 2 0.15829505 0.9057617 456.25845 18.9637 491.22647 2 0.14700486 291.4293 1.1589031 318.8419 23.946571 2 0.116885394 71.739105 464.36392 107.01614 492.18393 2 0.09471115 0.0 453.98642 109.02864 511.82437 2 0.09288588 72.2337 436.7016 225.68188 510.76935 2 0.070255175 37.522396 434.60663 143.02867 474.5606 2 0.057901345 108.020615 256.63196 281.40845 280.10785 6 0.9835012 158.78882 299.4232 284.674 390.17136 6 0.9677064 239.1724 267.33163 385.12668 374.64127 6 0.69934595 199.84523 278.58502 259.9952 309.4961 6 0.45940793 229.11284 390.98416 276.56854 458.37576 6 0.41846702 110.59166 255.89125 280.06348 280.22095 6 0.13713744 198.32195 277.54904 259.011 286.19614 6 0.1115431 270.47247 336.8401 287.1861 354.34686 6 0.10602187 150.01837 193.03542 194.08615 219.78111 6 0.08404262 211.8171 294.23172 301.17935 355.1193 6 0.08215765 0.3767624 340.27515 131.12762 469.27234 6 0.075344056 175.5943 400.07092 195.34851 415.66766 6 0.05382719 73.896355 263.72467 216.11023 314.11255 6 0.05075654 339.8377 295.5536 403.06116 332.5077 7 0.9866002 0.06409073 86.57977 47.618694 140.57784 7 0.50434905 40.311386 130.49521 386.56415 275.19058 7 0.13803858 149.99187 193.09116 194.16951 219.94113 7 0.0681688 200.31244 278.88306 259.22733 309.2268 8 0.9995466 44.67713 59.3965 196.2074 219.00346 8 0.99940634 150.29434 0.0 355.0665 220.672 8 0.9992416 159.6521 346.25217 350.29486 499.27658 8 0.97973526 0.0 261.02405 214.45953 470.88373 8 0.9732833 0.1631279 196.57677 64.203094 317.4569 8 0.9479751 0.08180237 125.83655 41.342342 213.34674 8 0.93586516 160.5603 133.55273 356.57812 221.68088 8 0.7196214 49.945724 435.15488 228.30629 512.0 8 0.47932136 317.02167 241.19374 410.92725 293.14215 8 0.4121814 338.37518 293.78915 406.8203 333.49698 8 0.2576682 0.0 263.83844 215.06868 352.3673 8 0.20007358 0.7253761 260.03778 97.588196 350.04193 8 0.16296433 0.08067322 318.03107 22.346992 340.9131 8 0.15174215 0.0 333.31305 157.83783 470.30243 8 0.114076786 175.47952 482.18808 312.72336 511.85037 8 0.05390826 237.7132 266.76007 385.68683 374.55878 ,batch_01_vt/0070.jpg
0 0.083302036 388.3958 292.45413 419.1385 310.42032 1 0.71236396 70.86818 236.09709 106.38391 253.73973 1 0.3847071 77.58172 218.81398 114.03709 239.85637 1 0.1833297 307.02737 218.41974 344.69394 260.70566 1 0.09651306 308.02408 218.59386 325.40402 236.94875 1 0.07938549 388.483 292.0725 419.1591 310.4737 1 0.07841463 76.73071 232.42007 113.39203 249.32153 1 0.07652675 312.87637 234.3621 343.57358 260.28064 1 0.052482277 146.03265 183.39699 183.2597 207.24419 2 0.48237726 388.39105 292.2019 419.2943 310.52515 2 0.15496165 306.9128 218.14505 345.00076 260.79865 2 0.11549805 77.639565 218.72133 113.9244 239.74855 2 0.1078307 70.34201 236.4295 106.71857 253.64624 6 0.057322226 280.4272 244.19957 315.69678 269.58 6 0.05125077 388.71933 292.4105 419.15988 310.54306 6 0.051057342 145.90572 183.411 183.37962 207.27705 7 0.13936594 388.79053 292.80518 418.8266 310.39044 8 0.9998535 263.461 196.06812 409.29193 351.85327 8 0.9998524 122.42214 247.24654 280.36914 362.5566 8 0.9997662 49.58694 236.49805 165.22531 297.97437 8 0.9974896 112.412766 161.62108 265.08612 269.17538 8 0.98818654 260.12125 182.25252 330.08743 230.46227 8 0.4741108 405.457 264.99344 494.0026 297.73856 8 0.3601654 115.40753 158.40137 180.51843 211.70587 8 0.2571406 315.32245 176.7918 362.52014 210.72926 8 0.22738975 333.04865 183.45541 362.2135 210.49887 8 0.1971369 69.86977 235.07332 110.00543 251.69926 8 0.16438726 145.98952 183.36823 183.27635 207.25394 8 0.092047706 119.65863 159.6389 155.10739 177.33537 ,batch_01_vt/0076.jpg
1 0.19875267 366.52145 457.54587 417.6453 512.0 1 0.0933009 380.5714 171.13629 403.56976 201.53918 1 0.066209815 372.0828 491.81097 404.24033 511.89935 1 0.060960047 366.25107 455.9511 394.01822 478.11066 1 0.05959096 322.38367 166.04301 404.09546 200.7275 2 0.83144826 320.69275 166.3662 404.99084 201.6642 2 0.07227885 381.10965 174.26033 402.9011 201.6512 3 0.17868325 321.7298 167.74442 405.65955 199.58755 6 0.26147485 246.6146 218.39915 310.82346 245.77928 6 0.21982333 178.65556 198.42659 226.84068 235.17082 6 0.0959704 303.30148 184.13295 327.12454 203.53987 6 0.055943634 464.5633 352.88968 511.8067 397.9111 6 0.05452989 222.47884 242.23074 295.06262 307.9268 6 0.053132188 320.33575 159.4063 403.79492 201.32332 8 0.998242 395.63315 404.00168 511.9415 512.0 8 0.9972983 97.98068 116.85505 211.42267 267.76126 8 0.99596256 378.01413 0.20473862 511.51724 116.72995 8 0.9941607 437.2627 201.41153 512.0 356.1429 8 0.99371743 288.46426 169.7145 436.3655 287.10654 8 0.99256563 338.93835 269.37833 473.9939 413.834 8 0.99232763 178.39288 87.80215 288.4711 216.48178 8 0.9833304 400.6902 98.06741 511.86743 187.3753 8 0.9737419 120.96795 224.67004 303.0802 326.64484 8 0.9664083 196.5331 208.69897 270.1511 254.5173 8 0.9347559 198.29852 314.86877 440.33203 471.88885 8 0.9050097 403.6134 147.86794 511.96356 273.635 8 0.8443567 288.0934 245.1752 399.05295 316.1722 8 0.7902549 284.99518 106.2261 416.701 212.00891 8 0.7465602 464.42267 349.74707 512.0 410.58618 8 0.6615735 436.04932 365.01953 468.44897 411.28778 8 0.28339657 199.30661 314.12244 387.06088 405.68817 8 0.22836514 200.77567 300.4333 303.14688 331.41595 8 0.21634753 465.6255 385.41553 510.98657 411.49036 8 0.20438926 221.99655 383.26483 431.32925 471.7218 8 0.1660979 319.2156 157.57025 406.07504 201.5138 8 0.16484256 252.50153 181.89084 325.89142 223.32822 8 0.14205103 177.91534 198.38889 230.46567 236.57593 8 0.11236454 437.44897 391.65668 467.31165 411.3344 8 0.10708519 252.6187 202.8204 280.51678 221.25696 8 0.101397224 214.77417 242.30867 302.53204 322.5373 8 0.07648852 303.3733 184.17334 327.0511 203.48132 8 0.072598204 246.6322 218.51936 311.64417 268.78525 8 0.070391685 451.36337 341.71487 474.40482 367.37003 8 0.06906072 372.1059 491.7653 404.161 511.97495 8 0.06552356 297.32242 271.88422 381.72842 317.09344 8 0.058475956 197.11386 309.29874 345.31656 344.67343 8 0.050117843 285.09583 244.30737 302.40283 301.34747 ,batch_01_vt/0078.jpg
1 0.9983297 214.64592 196.54953 262.96893 270.59708 6 0.9995179 96.81725 243.94884 275.88602 320.34082 ,batch_01_vt/0096.jpg
1 0.7686048 397.84274 213.86198 425.3845 231.67653 1 0.7526554 0.005712509 175.04616 61.152756 260.62952 1 0.5068634 356.88953 217.07881 486.04578 376.5299 1 0.2897653 13.199268 173.22675 55.50581 188.30945 1 0.22417691 421.52222 228.35345 461.02612 236.85327 1 0.21637824 38.64177 238.74782 58.266884 261.27243 1 0.15418433 317.16678 229.5471 377.07504 260.7588 1 0.083964296 170.8008 33.315346 225.864 278.50696 1 0.06272311 369.42523 313.87567 428.9804 343.0935 1 0.05941384 17.323872 181.71048 55.483494 198.36029 1 0.05359582 428.4862 235.0851 450.15808 248.03835 2 0.98754114 218.43723 170.60239 361.538 309.99426 2 0.8716444 314.33533 290.6739 431.17987 384.2707 2 0.228677 13.3104 173.29645 55.463196 188.18967 2 0.18599586 369.5545 313.91467 429.01727 343.04462 2 0.09187743 170.75627 33.26419 226.18205 278.5725 2 0.051317543 37.25384 241.39453 64.395294 261.03046 3 0.060687523 398.74692 213.87314 425.07516 231.70465 6 0.9709808 277.76752 322.1991 346.33154 380.80255 6 0.16604768 316.2943 322.13223 346.11047 343.87863 6 0.14991209 297.995 290.36957 429.8979 384.31494 6 0.11505015 315.34515 321.9915 414.50317 384.78238 6 0.08242999 277.9731 324.1349 297.5222 379.27832 6 0.065609515 354.00244 354.94516 375.6228 383.01633 6 0.051543076 14.900055 173.29425 55.55739 188.61319 8 0.99990225 0.057411194 313.61365 239.99725 511.65796 8 0.99965656 140.55116 274.765 293.4646 448.24323 8 0.9993217 38.869743 237.66211 184.89151 347.53784 8 0.9981616 262.91245 286.4481 438.19412 470.28098 8 0.9924234 0.0 245.29529 71.16628 339.52386 8 0.8674012 357.37946 217.49016 485.7044 376.29565 8 0.8522463 317.66763 229.44983 376.94815 261.713 8 0.26760194 0.020248413 175.08817 61.02429 261.36557 8 0.18740556 398.12033 213.90721 425.4092 231.44673 8 0.12538818 346.5704 258.35754 373.48795 290.62463 8 0.10279636 287.9054 288.36386 436.86804 383.4789 ,batch_01_vt/0101.jpg
0 0.25024027 156.75084 130.1196 261.10968 167.84885 1 0.5235486 83.97276 0.0 425.00238 63.123623 1 0.3006119 468.7142 347.58542 512.0 402.96506 1 0.24139309 157.60335 129.87572 260.37253 169.30696 1 0.16011687 404.49026 415.62094 511.56577 511.9299 1 0.1455263 438.17383 406.63605 511.90814 421.54626 1 0.093589194 437.99307 414.95453 510.44766 424.46307 1 0.08764547 436.20132 418.07837 511.51096 429.10065 2 0.9329434 393.84552 114.62149 511.84473 406.09 2 0.92966336 159.13 268.5076 304.63962 401.00693 2 0.9144359 88.20749 253.62727 227.37039 393.7334 2 0.85922706 436.8316 276.36594 512.0 406.62393 2 0.43391445 438.27066 406.7085 511.9603 421.536 2 0.4065398 404.50116 413.0677 511.9406 511.93884 2 0.18208914 170.50531 284.90005 240.15045 374.39536 2 0.18126793 81.43263 0.07608795 424.81903 63.13585 2 0.17196219 468.85947 347.73956 512.0 402.89697 2 0.10682822 204.52034 292.36523 233.53218 323.26776 2 0.08448808 438.04218 414.9918 510.39587 424.47134 2 0.06463815 440.46286 398.05 511.61984 414.6289 2 0.056472406 436.06372 418.10452 511.43115 429.13986 6 0.09776399 438.05255 406.71512 512.0 421.50467 8 0.99830866 0.0 112.231094 444.72165 511.90033 8 0.7716259 443.1453 462.3513 511.98245 511.47018 8 0.5510045 82.68741 0.0 423.54578 62.760128 8 0.4338703 468.89896 347.2723 511.9675 403.43698 8 0.41582075 404.08356 416.7879 511.95276 512.0 8 0.054286316 73.98809 144.88153 203.52594 194.16165 10 0.41802058 157.7027 129.74068 260.76028 168.26476 ,batch_01_vt/0122.jpg
